symbol,date,close
MMM,01/11,129.12
MMM,01/10,128.13
MMM,01/09,126.79
MMM,01/06,126.72
MMM,01/05,122.96
AXP,01/11,153.92
AXP,01/10,152.0
AXP,01/09,150.4
AXP,01/06,150.17
AXP,01/05,146.43
AMGN,01/11,272.91
AMGN,01/10,273.88
AMGN,01/09,270.12
AMGN,01/06,275.2
AMGN,01/05,266.86
AAPL,01/11,133.49
AAPL,01/10,130.73
AAPL,01/09,130.15
AAPL,01/06,129.62
AAPL,01/05,125.02
BA,01/11,208.03
BA,01/10,206.69
BA,01/09,208.57
BA,01/06,213.0
BA,01/05,204.99
CAT,01/11,250.73
CAT,01/10,250.51
CAT,01/09,246.62
CAT,01/06,248.86
CAT,01/05,240.28
CVX,01/11,175.2
CVX,01/10,176.04
CVX,01/09,175.18
CVX,01/06,176.56
CVX,01/05,175.24
CSCO,01/11,49.21
CSCO,01/10,48.81
CSCO,01/09,48.58
CSCO,01/06,48.32
CSCO,01/05,46.88
KO,01/11,62.01
KO,01/10,62.13
KO,01/09,62.61
KO,01/06,63.4
KO,01/05,62.2
DIS,01/11,96.33
DIS,01/10,95.56
DIS,01/09,94.77
DIS,01/06,93.92
DIS,01/05,91.92
DOW,01/11,57.58
DOW,01/10,56.47
DOW,01/09,55.28
DOW,01/06,55.02
DOW,01/05,52.91
GS,01/11,364.48
GS,01/10,357.36
GS,01/09,353.0
GS,01/06,348.08
GS,01/05,343.76
HD,01/11,329.0
HD,01/10,320.63
HD,01/09,317.81
HD,01/06,317.53
HD,01/05,315.47
HON,01/11,212.3
HON,01/10,211.34
HON,01/09,210.67
HON,01/06,210.27
HON,01/05,204.47
IBM,01/11,145.26
IBM,01/10,144.8
IBM,01/09,143.55
IBM,01/06,143.7
IBM,01/05,141.11
INTC,01/11,29.85
INTC,01/10,29.44
INTC,01/09,29.31
INTC,01/06,28.73
INTC,01/05,27.56
JNJ,01/11,174.88
JNJ,01/10,175.16
JNJ,01/09,175.58
JNJ,01/06,180.25
JNJ,01/05,178.8
JPM,01/11,139.63
JPM,01/10,138.6
JPM,01/09,137.37
JPM,01/06,137.94
JPM,01/05,135.35
MCD,01/11,268.81
MCD,01/10,268.91
MCD,01/09,267.25
MCD,01/06,269.47
MCD,01/05,262.16
MRK,01/11,111.07
MRK,01/10,110.81
MRK,01/09,110.38
MRK,01/06,114.84
MRK,01/05,113.64
MSFT,01/11,235.77
MSFT,01/10,228.85
MSFT,01/09,227.12
MSFT,01/06,224.93
MSFT,01/05,222.31
NKE,01/11,127.94
NKE,01/10,125.84
NKE,01/09,124.85
NKE,01/06,124.53
NKE,01/05,120.62
PG,01/11,150.66
PG,01/10,151.89
PG,01/09,152.04
PG,01/06,153.92
PG,01/05,150.34
CRM,01/11,144.9
CRM,01/10,147.44
CRM,01/09,147.1
CRM,01/06,140.51
CRM,01/05,136.34
TRV,01/11,191.63
TRV,01/10,191.22
TRV,01/09,189.12
TRV,01/06,193.87
TRV,01/05,187.55
UNH,01/11,493.4
UNH,01/10,486.0
UNH,01/09,490.06
UNH,01/06,490.0
UNH,01/05,489.96
VZ,01/11,41.18
VZ,01/10,41.95
VZ,01/09,41.37
VZ,01/06,42.19
VZ,01/05,41.7
V,01/11,222.1
V,01/10,221.09
V,01/09,218.6
V,01/06,217.75
V,01/05,211.11
WBA,01/11,37.12
WBA,01/10,36.7
WBA,01/09,36.35
WBA,01/06,36.61
WBA,01/05,35.19
WMT,01/11,146.13
WMT,01/10,144.86
WMT,01/09,144.95
WMT,01/06,146.78
WMT,01/05,143.27
