,name,symbol,price,employee,mktcap,revenue,profit
0,3M Company,MMM,122.77,95000,67860254720,34761998336,16579000000
1,American Express Company,AXP,146.6099,64000,109551755264,49622999040,30799000000
2,Amgen Inc.,AMGN,265.12,24200,141462470656,26329999360,19525000000
3,Apple Inc.,AAPL,126.33,164000,2087767506944,394328014848,170782000000
4,Boeing Company (The),BA,202.06,142000,120424316928,61420998656,5190000000
5,"Caterpillar, Inc.",CAT,238.99,107700,124372549632,56627998720,13189000000
6,Chevron Corporation,CVX,174.49,42595,337400856576,227054993408,66234000000
7,"Cisco Systems, Inc.",CSCO,46.835,83300,192402866176,52288999424,32248000000
8,Coca-Cola Company (The),KO,62.18,79000,268898041856,42342998016,23298000000
9,Walt Disney Company (The),DIS,91.42,171600,166712590336,82721996800,28321000000
10,Dow Inc.,DOW,52.225,35700,36753809408,59406999552,10777000000
11,"Goldman Sachs Group, Inc. (The)",GS,342.51,49100,115985883136,47324000256,52699000000
12,"Home Depot, Inc. (The)",HD,313.91,500000,319933939712,157291003904,50832000000
13,Honeywell International Inc.,HON,206.02,99000,138511777792,34936999936,10998000000
14,International Business Machines,IBM,141.06,282100,126434893824,60535001088,31486000000
15,Intel Corporation,INTC,27.58,121100,113822662656,69540003840,43815000000
16,Johnson & Johnson,JNJ,178.67,141700,467129106432,96041000960,64020000000
17,JP Morgan Chase & Co.,JPM,134.76,288474,395277991936,120585003008,130898000000
18,McDonald's Corporation,MCD,262.05,100000,191931695104,23265200128,12580200000
19,"Merck & Company, Inc.",MRK,112.65,67000,285612802048,58973999104,35463000000
20,Microsoft Corporation,MSFT,222.84,221000,1662818713600,203074994176,135620000000
21,"Nike, Inc.",NKE,120.93,79100,189205856256,49107001344,21479000000
22,Procter & Gamble Company (The),PG,150.865,106000,357504811008,80460996608,38212000000
23,"Salesforce, Inc.",CRM,135.13,73541,135130005504,30293999616,19466000000
24,"The Travelers Companies, Inc.",TRV,186.115,30184,43615678464,36259000320,9475000000
25,UnitedHealth Group Incorporated,UNH,490.74,350000,468724908032,315117993984,69652000000
26,Verizon Communications Inc.,VZ,41.53,119500,174418526208,135651000320,77312000000
27,Visa Inc.,V,211.2,26500,447241322496,29309999104,28567000000
28,"Walgreens Boots Alliance, Inc.",WBA,34.5,200000,29750523904,132703002624,28266000000
29,Walmart Inc.,WMT,143.115,2300000,385952546816,600111972352,143754000000
